����,�̸�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ȧ,one_ins_vm32_fish_red0040101D_opt0.txt,EIP,ESI,IRDst,EBP,EBX,ESP,EDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¦,one_ins_vm32_fish_red0040101D_opt0.txt,"Concat(mem32[19+ESP],mem32[18+ESP],mem32[17+ESP],mem32[16+ESP])","Concat(mem32[7+ESP],mem32[6+ESP],mem32[5+ESP],mem32[4+ESP])","Concat(mem32[19+ESP],mem32[18+ESP],mem32[17+ESP],mem32[16+ESP])","Concat(mem32[15+ESP],mem32[14+ESP],mem32[13+ESP],mem32[12+ESP])","Concat(mem32[11+ESP],mem32[10+ESP],mem32[9+ESP],mem32[8+ESP])",20+ESP,"Concat(mem32[3+ESP],mem32[2+ESP],mem32[1+ESP],mem32[ESP])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ȧ,one_ins_vm32_fish_red004052BC_opt0.txt,af,mem32[106+EBP],"Concat(mem32[130+EBP],mem32[129+EBP],mem32[128+EBP],mem32[127+EBP])",of,EAX,"Concat(mem32[13+EBP],mem32[12+EBP],mem32[11+EBP],mem32[10+EBP])",cf,EBX,"Concat(mem32[3+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[2+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),1)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])",pf,"Concat(mem32[110+EBP],mem32[109+EBP],mem32[108+EBP],mem32[107+EBP])",zf,nf,EIP,IRDst,"Concat(mem32[3+EBP+Concat(0,mem32[3+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[2+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])],mem32[2+EBP+Concat(0,mem32[3+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[2+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])],mem32[1+EBP+Concat(0,mem32[3+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[2+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])],mem32[EBP+Concat(0,mem32[3+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[2+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])])","Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])",EDI,"Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])",EDX,ESI,ECX,"Concat(mem32[173+EBP],mem32[172+EBP],mem32[171+EBP],mem32[170+EBP])","Concat(mem32[156+EBP],mem32[155+EBP],mem32[154+EBP],mem32[153+EBP])","Concat(mem32[3+EBP+Concat(0,mem32[10+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[9+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])],mem32[2+EBP+Concat(0,mem32[10+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[9+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])],mem32[1+EBP+Concat(0,mem32[10+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[9+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])],mem32[EBP+Concat(0,mem32[10+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[9+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])])","Concat(mem32[4294967295+ESP],mem32[4294967294+ESP],mem32[4294967293+ESP],mem32[4294967292+ESP])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¦,one_ins_vm32_fish_red004052BC_opt0.txt,"Extract(4,4,mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])^Extract(4,4,1+Concat(mem32[3+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[2+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),1)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)]))","mem32[106+EBP]+255*mem32[Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])]","Concat(mem32[130+EBP],mem32[129+EBP],mem32[128+EBP],mem32[127+EBP])^Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)","~(~(Extract(7,7,mem32[3+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])^Extract(31,31,1+Concat(mem32[3+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[2+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),1)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])))|Extract(7,7,mem32[3+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)]))","Concat(0,60335+65535*Concat(Extract(15,15,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(13,13,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(11,11,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(4,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)+Concat(mem32[1+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])]),0)","Concat(0,Extract(4,3,mem32[13+EBP]),0,Extract(1,0,mem32[13+EBP]),Extract(7,6,mem32[12+EBP]),0,Extract(3,3,mem32[12+EBP]),0,Extract(1,1,mem32[12+EBP]),0,Extract(1,0,mem32[11+EBP]),Extract(7,7,mem32[10+EBP]),0,Extract(5,3,mem32[10+EBP]),0)","Extract(7,7,mem32[3+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])^~(~(Extract(7,7,mem32[3+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])^Extract(31,31,1+Concat(mem32[3+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[2+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),1)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])))|Extract(7,7,mem32[3+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)]))^Extract(31,31,1+Concat(mem32[3+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[2+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),1)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)]))","Concat(0,Extract(2,2,mem32[1+EBP+Concat(0,mem32[8+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[7+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])]),0)|Concat(0,Extract(2,2,mem32[60+EBP]),0)","1+Concat(mem32[3+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[2+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),1)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])","1^1+Extract(0,0,mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])^Extract(1,1,1+mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])^Extract(2,2,1+mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])^Extract(3,3,1+mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])^Extract(4,4,1+mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])^Extract(5,5,1+mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])^Extract(6,6,1+mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])^Extract(7,7,1+mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)])","Concat(0,~Extract(6,6,mem32[110+EBP]),0,Extract(4,4,mem32[110+EBP]),0,~Extract(1,1,mem32[110+EBP]),0,~Extract(7,7,mem32[109+EBP]),0,~Extract(2,2,mem32[109+EBP]),Extract(1,1,mem32[109+EBP]),~Extract(0,0,mem32[109+EBP]),~Extract(7,7,mem32[108+EBP]),0,Extract(1,1,mem32[108+EBP]),~Extract(0,0,mem32[108+EBP]),~Extract(7,7,mem32[107+EBP]),0,~Extract(5,5,mem32[107+EBP]),Extract(4,4,mem32[107+EBP]),0,Extract(2,2,mem32[107+EBP]),0)","If(And(mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)]==255,mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),1)]==255,mem32[2+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)]==255,mem32[3+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)]==255),1,0)","Extract(31,31,1+Concat(mem32[3+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[2+Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),1)],mem32[Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)]))","Concat(mem32[3+Concat(mem32[144+EBP],mem32[143+EBP],mem32[142+EBP],mem32[141+EBP])+Concat(0,60335+65535*Concat(Extract(15,15,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(13,13,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(11,11,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(4,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)+Concat(mem32[1+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])]),0)],mem32[2+Concat(mem32[144+EBP],mem32[143+EBP],mem32[142+EBP],mem32[141+EBP])+Concat(0,60335+65535*Concat(Extract(15,15,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(13,13,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(11,11,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(4,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)+Concat(mem32[1+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])]),0)],mem32[1+Concat(mem32[144+EBP],mem32[143+EBP],mem32[142+EBP],mem32[141+EBP])+Concat(0,60335+65535*Concat(Extract(15,15,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(13,13,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(11,11,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(4,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)+Concat(mem32[1+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])]),0)],mem32[Concat(mem32[144+EBP],mem32[143+EBP],mem32[142+EBP],mem32[141+EBP])+Concat(0,60335+65535*Concat(Extract(15,15,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(13,13,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(11,11,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(4,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)+Concat(mem32[1+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])]),0)])",289,"If(And(Extract(5,3,mem32[10+EBP])==0,Extract(7,7,mem32[10+EBP])==0,Extract(1,0,mem32[11+EBP])==0,Extract(1,1,mem32[12+EBP])==0,Extract(3,3,mem32[12+EBP])==0,Extract(7,6,mem32[12+EBP])==0,Extract(1,0,mem32[13+EBP])==0,Extract(4,3,mem32[13+EBP])==0),Concat(0,i_d,vip,vif,ac,vm,rf,0,nt,iopl_f,0,df,i_f,tf,2,Extract(4,4,mem32[149+EBP])^Extract(4,4,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,1^Extract(3,3,mem32[10+EBP])^Extract(4,4,mem32[10+EBP])^Extract(5,5,mem32[10+EBP])^Extract(7,7,mem32[10+EBP]),2),Concat(0,i_d,vip,vif,ac,vm,rf,0,nt,iopl_f,0,df,i_f,tf,0,Extract(4,4,mem32[149+EBP])^Extract(4,4,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,1^Extract(3,3,mem32[10+EBP])^Extract(4,4,mem32[10+EBP])^Extract(5,5,mem32[10+EBP])^Extract(7,7,mem32[10+EBP]),2))","Concat(0,Extract(28,27,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(25,25,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(21,20,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(16,15,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(13,13,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(11,11,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(4,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)","Concat(0,Extract(1,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)","11+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])","Concat(mem32[3+Concat(mem32[144+EBP],mem32[143+EBP],mem32[142+EBP],mem32[141+EBP])+Concat(0,60335+65535*Concat(Extract(15,15,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(13,13,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(11,11,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(4,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)+Concat(mem32[1+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])]),0)],mem32[2+Concat(mem32[144+EBP],mem32[143+EBP],mem32[142+EBP],mem32[141+EBP])+Concat(0,60335+65535*Concat(Extract(15,15,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(13,13,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(11,11,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(4,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)+Concat(mem32[1+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])]),0)],mem32[1+Concat(mem32[144+EBP],mem32[143+EBP],mem32[142+EBP],mem32[141+EBP])+Concat(0,60335+65535*Concat(Extract(15,15,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(13,13,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(11,11,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(4,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)+Concat(mem32[1+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])]),0)],mem32[Concat(mem32[144+EBP],mem32[143+EBP],mem32[142+EBP],mem32[141+EBP])+Concat(0,60335+65535*Concat(Extract(15,15,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(13,13,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(11,11,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(4,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)+Concat(mem32[1+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])]),0)])","EBP+Concat(0,mem32[8+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[7+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])","Concat(mem32[144+EBP],mem32[143+EBP],mem32[142+EBP],mem32[141+EBP])+Concat(0,60335+65535*Concat(Extract(15,15,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(13,13,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(11,11,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,Extract(4,1,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0)+Concat(mem32[1+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])]),0)","Concat(Extract(7,7,mem32[173+EBP]),7,Extract(3,3,mem32[173+EBP]),1,Extract(1,1,mem32[173+EBP]),1,Extract(7,7,mem32[172+EBP]),1,Extract(5,4,mem32[172+EBP]),15,Extract(7,7,mem32[171+EBP]),511,Extract(5,5,mem32[170+EBP]),1,Extract(3,3,mem32[170+EBP]),3,Extract(0,0,mem32[170+EBP]))","2991046898+Concat(0,Extract(6,4,mem32[156+EBP]),0,Extract(2,2,mem32[156+EBP]),0,Extract(0,0,mem32[156+EBP]),0,Extract(6,6,mem32[155+EBP]),0,Extract(3,2,mem32[155+EBP]),0,Extract(7,7,mem32[154+EBP]),0,Extract(2,2,mem32[154+EBP]),0,Extract(6,6,mem32[153+EBP]),0,Extract(0,0,mem32[153+EBP]))","4294967295+Concat(mem32[3+EBP+Concat(0,mem32[10+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[9+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])],mem32[2+EBP+Concat(0,mem32[10+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[9+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])],mem32[1+EBP+Concat(0,mem32[10+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[9+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])],mem32[EBP+Concat(0,mem32[10+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])],mem32[9+Concat(mem32[82+EBP],mem32[81+EBP],mem32[80+EBP],mem32[79+EBP])])])","If(And(Extract(5,3,mem32[10+EBP])==0,Extract(7,7,mem32[10+EBP])==0,Extract(1,0,mem32[11+EBP])==0,Extract(1,1,mem32[12+EBP])==0,Extract(3,3,mem32[12+EBP])==0,Extract(7,6,mem32[12+EBP])==0,Extract(1,0,mem32[13+EBP])==0,Extract(4,3,mem32[13+EBP])==0),Concat(0,i_d,vip,vif,ac,vm,rf,0,nt,iopl_f,0,df,i_f,tf,2,Extract(4,4,mem32[149+EBP])^Extract(4,4,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,1^Extract(3,3,mem32[10+EBP])^Extract(4,4,mem32[10+EBP])^Extract(5,5,mem32[10+EBP])^Extract(7,7,mem32[10+EBP]),2),Concat(0,i_d,vip,vif,ac,vm,rf,0,nt,iopl_f,0,df,i_f,tf,0,Extract(4,4,mem32[149+EBP])^Extract(4,4,1337560257+Concat(mem32[152+EBP],mem32[151+EBP],mem32[150+EBP],mem32[149+EBP])),0,1^Extract(3,3,mem32[10+EBP])^Extract(4,4,mem32[10+EBP])^Extract(5,5,mem32[10+EBP])^Extract(7,7,mem32[10+EBP]),2))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
